id,answer
306,Graecia
307,270-COMMA-000
308,BC
309,Neolithic
310,Paleolithic
311,Paleolithic
312,Athens
313,Mycenaean
314,2700–1500
315,BC
316,Greek Dark Ages
317,776
318,Virgil
319,776
320,Magna Graecia
321,1914
322,BC
323,Marathon
324,Greece
325,BC
326,480
327,Peloponnesian War
328,Greek
329,Peloponnesian War
330,Greek
331,Philip
332,Alexander
333,Eastern Roman
334,Battle
335,146
336,168
337,Greek
338,Greek
339,AD
340,Aeneid
341,Greek
342,Greek
343,Muslim
344,393
345,I
346,Greeks
347,492
348,4th
349,Antigonid
350,15th
351,9th
352,Greek
353,Persians
354,Greek
355,1261
356,Venetian
357,Byzantine
358,Greek
359,15th
360,Morea
361,15th
362,Iannis Xenakis
363,Ottoman
364,1797
365,United Kingdom
366,15th
367,15th
368,Islam
369,Orthodox Christian
370,Ottoman
371,1571
372,1684–1699
373,1770
374,Russian
375,Macedon
376,776
377,18th
378,Rigas Feraios
379,18th
380,1814
381,Friends
382,Friends
383,6
384,1821
385,1821
386,Theodoros Kolokotronis
387,Ottoman
388,1824
389,2015
390,Ibrahim Pasha
391,1825
392,1824
393,Athens
394,Russia
395,Greek
396,Greek
397,1830
398,Greek
399,Ministry of Labour
400,Greek
401,Ancient Greek
402,19th
403,1877
404,3
405,1881
406,I
407,1917
408,Russia
409,508
410,1919–1922
411,I
412,Institutes
413,1914-1922
414,Asia
415,1.5
416,Greece
417,Greek
418,Georgios Kondylis
419,Second Hellenic Republic
420,Georgios Kondylis
421,Lykeio
422,1924
423,Greek
424,2-COMMA-000
425,Greek
426,1941–1942
427,Andreas Papandreou
428,Greek
429,1980
430,1999
431,2001
432,Mycenaean Greece
433,Mediterranean Basin
434,11th
435,Twelve Gods
436,Pindus
437,Smolikas
438,Greece
439,The Argo-Saronic Islands
440,World Records
441,Athens
442,Ionian Islands
443,Ionian Islands
444,Ionian Islands
445,Ionian Islands
446,Γενικό Λύκειο
447,Pindus
448,Pindus
449,Greece
450,Alpine
451,Greece
452,Athens
453,Prime Minister
454,Nazis
455,Illyrian
456,Peloponnesian
457,Illyrian
458,Eastern Orthodox Church
459,Greek
460,Republic
461,Asty Films Company
462,120
463,1986
464,Prime Minister
465,Republic
466,Prime Minister
467,28-COMMA-874
468,Parliament
469,Parliament
470,May
471,Greek
472,SYRIZA
473,May
474,New Democracy
475,Eleftherios Venizelos
476,Foreign Affairs
477,Minister
478,BC
479,14th
480,Greece
481,Greece
482,Greece
483,National Guard
484,1
485,325
486,January
487,Greek
488,Mount Athos
489,Balkans
490,85.0
491,12.0
492,18
493,Greece
494,Eurozone
495,Greek
496,Albania
497,Albania
498,Greek
499,Greek
500,Organisation for Economic Co-operation
501,19
502,340.75
503,Ottoman Muslim
504,Greek
505,Der Spiegel
506,US
507,The Maastricht
508,Greece
509,3-COMMA-150
510,1-COMMA-517
511,Greece
512,2007
513,European
514,Roman Emperor
515,2007
516,Greek
517,Thessaloniki
518,Proastiakos
519,2-COMMA-000
520,340
521,Greece
522,ESA
523,1994
524,2003
525,European Space Agency
526,2003
527,Pap
528,Philip
